データ日付,終値,始値,高値,安値
2022/3/25,28149.84,28338.81,28338.81,27946.79
2022/3/28,27943.89,28084.08,28084.08,27812.67
2022/3/29,28252.42,28173.43,28252.42,28063.92
2022/3/30,28027.25,28250.8,28281.45,27736.27
2022/3/31,27821.43,27809.97,28101.68,27763.96
2022/4/1,27665.98,27624.11,27738.31,27399.48
2022/4/4,27736.47,27685.65,27754.24,27578.81
2022/4/5,27787.98,27965.94,27965.94,27662.28
2022/4/6,27350.3,27533.88,27549.67,27214.61
2022/4/7,26888.57,27032.42,27042.49,26801.79
2022/4/8,26985.8,27097.05,27185.23,26764.36
2022/4/11,26821.52,26877.6,27004.5,26720.46
2022/4/12,26334.98,26606.87,26674.86,26304.08
2022/4/13,26843.49,26436.06,26885.87,26429.47
2022/4/14,27172,26925.64,27200.89,26890.68
2022/4/15,27093.19,26932.48,27203.77,26784.92
2022/4/18,26799.71,26831.45,26851.8,26571.38
2022/4/19,26985.09,27096.49,27100.59,26777.71
2022/4/20,27217.85,27210.79,27389.84,27066.18
2022/4/21,27553.06,27259.14,27580.64,27252.83
2022/4/22,27105.26,27197.8,27205.83,26904.38
2022/4/25,26590.78,26692.48,26764.48,26487.84
2022/4/26,26700.11,26743.21,26808.99,26592.99
2022/4/27,26386.63,26313.14,26406.62,26051.04
2022/4/28,26847.9,26430.28,26876.95,26348.36
2022/5/2,26818.53,26851.1,26964.59,26610.86
2022/5/6,27003.56,26784.29,27072.59,26543.29
2022/5/9,26319.34,26705.32,26732.61,26309.22
2022/5/10,26167.1,26149.06,26246.63,25773.83
2022/5/11,26213.64,26045.38,26290.62,26003.26
2022/5/12,25748.72,25945.04,26028.36,25688.11
2022/5/13,26427.65,25918.8,26479.93,25904.4
2022/5/16,26547.05,26753.37,26836.96,26438.61
2022/5/17,26659.75,26555.23,26709.26,26440.62
2022/5/18,26911.2,26826.82,27053.18,26741.34
2022/5/19,26402.84,26435.32,26458.85,26150.09
2022/5/20,26739.03,26448.23,26769.2,26426.99
2022/5/23,27001.52,26991.42,27047.47,26832.65
2022/5/24,26748.14,27005.43,27005.43,26736.01
2022/5/25,26677.8,26711.53,26795.89,26578.03
2022/5/26,26604.84,26685.02,26898.75,26597.97
2022/5/27,26781.68,26947.8,26996.7,26731.6
2022/5/30,27369.43,27092.82,27401.24,27057.2
2022/5/31,27279.8,27318.09,27463.33,27250.7
2022/6/1,27457.89,27295.63,27482.31,27295.42
2022/6/2,27413.88,27340.52,27450.47,27251.24
2022/6/3,27761.57,27660.62,27776.33,27614.86
2022/6/6,27915.89,27549.64,27979.54,27523.95
2022/6/7,27943.95,27984.79,28094.73,27863.38
2022/6/8,28234.29,28100.26,28234.29,28089.78
2022/6/9,28246.53,28189.35,28389.75,28189.35
2022/6/10,27824.29,27996.35,28044.45,27795.17
2022/6/13,26987.44,27369.66,27389.3,26948.22
2022/6/14,26629.86,26555.75,26657.92,26357.9
2022/6/15,26326.16,26625.68,26638.76,26321.68
2022/6/16,26431.2,26715.52,26947.7,26431.2
2022/6/17,25963,25988.2,26072.35,25720.8
2022/6/20,25771.22,26156.62,26156.62,25520.23
2022/6/21,26246.31,26070.92,26418.84,25972.28
2022/6/22,26149.55,26441.72,26462.83,26149.17
2022/6/23,26171.25,26134.89,26401.97,26039.57
2022/6/24,26491.97,26228.42,26519.16,26148.56
2022/6/27,26871.27,26741.8,26938.43,26665.44
2022/6/28,27049.47,26795.68,27062.31,26789.5
2022/6/29,26804.6,26814.23,26858.68,26687.47
2022/6/30,26393.04,26753.28,26753.28,26324.31
2022/7/1,25935.62,26460.71,26531.24,25841.75
2022/7/4,26153.81,26086.78,26258.86,25945.83
